Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Cluster Spending Behavior,Cluster Product Preference,Cluster Loyalty and Engagement,Cluster Demographic,Cluster Payment and Shipping
1,55,1,2,1,53,16,0,7,3,3.1,1,1,1,1,14,5,3,1,3,0,1,3
2,19,1,23,1,64,18,0,12,3,3.1,1,1,1,1,2,1,3,1,1,0,1,1
3,50,1,11,1,73,20,2,12,1,3.1,1,2,1,1,23,2,6,1,2,0,1,1
4,21,1,14,2,90,38,1,12,1,3.5,1,3,1,1,49,4,6,1,0,0,1,0
5,45,1,2,1,49,36,1,21,1,2.7,1,2,1,1,31,4,0,1,3,0,1,3
6,46,1,20,2,20,49,1,23,2,2.9,1,4,1,1,14,5,6,1,1,0,1,0
7,63,1,16,1,85,25,1,7,0,3.2,1,2,1,1,49,1,5,1,1,0,1,1
8,27,1,18,1,34,17,0,4,3,3.2,1,2,1,1,19,2,6,1,1,0,1,1
9,26,1,4,3,97,47,0,19,2,2.6,1,1,1,1,8,5,0,1,0,0,1,3
10,57,1,7,0,31,24,1,16,1,4.8,1,0,1,1,4,1,5,1,3,0,1,1
11,53,1,17,2,34,3,0,17,0,4.1,1,5,1,1,26,0,1,1,1,0,1,2
12,30,1,18,1,68,10,2,13,3,4.9,1,5,1,1,10,0,3,1,2,0,1,2
13,61,1,4,3,72,7,1,6,3,4.5,1,1,1,1,37,5,3,1,0,0,1,3
14,65,1,5,1,51,28,1,22,1,4.7,1,1,1,1,31,4,6,1,3,0,1,3
15,64,1,4,3,53,31,0,20,3,4.7,1,2,1,1,34,3,6,1,0,0,1,3
16,64,1,19,1,81,38,1,20,3,2.8,1,5,1,1,8,4,4,1,1,0,1,0
17,25,1,22,0,36,0,2,7,1,4.1,1,3,1,1,44,3,1,1,2,0,1,0
18,53,1,5,1,38,23,3,10,3,4.7,1,0,1,1,36,5,5,1,2,0,1,3
19,52,1,23,1,48,25,2,1,2,4.6,1,2,1,1,17,1,6,1,2,0,1,1
20,66,1,13,1,90,38,1,8,2,3.3,1,4,1,1,46,3,1,1,1,0,1,0
21,21,1,13,1,51,17,1,1,3,2.8,1,1,1,1,50,1,2,1,1,0,1,1
22,31,1,13,1,62,32,1,4,3,4.1,1,5,1,1,22,3,5,1,1,0,1,0
23,56,1,13,1,37,4,1,15,2,3.2,1,5,1,1,32,3,0,1,1,0,1,0
24,31,1,13,1,88,35,3,23,3,4.4,1,1,1,1,40,2,6,1,2,0,1,1
25,18,1,10,3,22,8,1,8,0,2.9,1,5,1,1,16,3,6,1,0,0,1,0
26,18,1,9,1,25,42,1,19,2,3.6,1,1,1,1,14,4,0,1,3,0,1,3
27,38,1,12,0,20,27,1,18,1,3.6,1,3,1,1,13,2,0,1,3,0,1,2
28,56,1,18,1,56,16,0,5,2,5.0,1,3,1,1,7,0,2,1,1,0,1,2
29,54,1,7,0,94,32,1,7,0,4.4,1,2,1,1,41,4,2,1,3,0,1,3
30,31,1,5,1,48,49,2,1,0,4.1,1,5,1,1,14,2,6,1,3,0,1,2
31,57,1,12,0,31,32,0,1,3,4.7,1,4,1,1,16,2,4,1,3,0,1,2
32,33,1,5,1,79,47,0,3,3,4.7,1,5,1,1,45,5,4,1,3,0,1,0
33,36,1,10,3,67,15,1,19,2,4.9,1,2,1,1,37,5,0,1,0,0,1,3
34,54,1,13,1,38,5,0,8,2,3.3,1,5,1,1,45,1,5,1,1,0,1,2
35,36,1,24,1,91,33,0,22,1,4.6,1,0,1,1,38,4,5,1,1,0,1,3
36,54,1,2,1,33,20,1,5,2,4.0,1,0,1,1,48,2,1,1,3,0,1,1
37,35,1,24,1,69,12,1,12,3,4.6,1,2,1,1,44,4,3,1,1,0,1,3
38,35,1,11,1,45,13,2,5,2,2.8,1,5,1,1,10,4,6,1,2,0,1,0
39,29,1,5,1,37,8,1,18,3,3.7,1,0,1,1,44,5,2,1,3,0,1,3
40,70,1,13,1,60,2,2,21,2,4.2,1,1,1,1,18,2,4,1,2,0,1,1
41,69,1,7,0,76,17,0,0,3,4.6,1,3,1,1,31,3,5,1,3,0,1,0
42,67,1,15,0,39,1,1,14,1,4.5,1,4,1,1,40,5,0,1,3,0,1,0
43,20,1,4,3,100,41,1,0,1,4.1,1,2,1,1,15,4,0,1,0,0,1,3
44,25,1,15,0,69,34,0,10,0,3.7,1,5,1,1,19,4,3,1,3,0,1,0
45,39,1,8,0,53,16,2,19,2,4.6,1,2,1,1,45,4,6,1,2,0,1,3
46,50,1,21,1,21,41,3,9,0,2.9,1,0,1,1,25,4,0,1,2,0,1,3
47,57,1,16,1,43,4,0,23,2,2.9,1,5,1,1,45,1,5,1,1,0,1,2
48,55,1,12,0,54,25,1,4,3,4.5,1,2,1,1,36,1,6,1,3,0,1,1
49,42,1,16,1,55,27,1,14,2,2.7,1,5,1,1,38,1,4,1,1,0,1,2
50,68,1,9,1,30,29,2,9,1,4.6,1,3,1,1,34,3,1,1,2,0,1,0
51,49,1,2,1,28,19,1,18,1,3.7,1,5,1,1,39,3,1,1,3,0,1,0
52,59,1,19,1,59,44,3,7,3,4.7,1,0,1,1,7,2,5,1,2,0,1,1
53,42,1,24,1,20,1,1,8,2,2.6,1,2,1,1,26,2,6,1,1,0,1,1
54,29,1,19,1,24,23,2,15,3,3.9,1,3,1,1,35,2,6,1,2,0,1,2
55,47,1,4,3,94,30,1,3,2,4.2,1,3,1,1,35,3,1,1,0,0,1,0
56,40,1,10,3,28,39,1,10,3,3.0,1,0,1,1,49,2,0,1,0,0,1,1
57,41,1,0,0,73,23,3,3,2,4.7,1,5,1,1,46,2,6,1,2,0,1,2
58,21,1,4,3,64,47,1,23,2,4.4,1,5,1,1,17,3,3,1,0,0,1,0
59,69,1,9,1,54,24,1,4,2,4.2,1,2,1,1,29,5,4,1,3,0,1,3
60,63,1,1,0,79,17,0,24,1,4.6,1,4,1,1,4,3,6,1,3,0,1,0
61,50,1,23,1,37,11,0,3,2,4.0,1,1,1,1,17,1,6,1,1,0,1,1
62,55,1,15,0,68,42,1,14,3,4.7,1,5,1,1,21,2,2,1,1,0,1,2
63,30,1,20,2,21,23,2,11,1,3.8,1,2,1,1,31,2,3,1,2,0,1,1
64,33,1,22,0,79,2,0,10,3,2.7,1,0,1,1,43,2,6,1,1,0,1,1
65,65,1,3,2,83,0,2,8,0,4.8,1,4,1,1,18,3,3,1,0,0,1,0
66,65,1,0,0,36,29,1,17,1,4.8,1,0,1,1,44,5,2,1,3,0,1,3
67,31,1,2,1,94,37,2,11,3,4.7,1,0,1,1,3,5,2,1,3,0,1,3
68,45,1,4,3,33,6,0,7,3,4.4,1,5,1,1,49,3,4,1,0,0,1,0
69,57,1,7,0,46,43,0,19,2,3.9,1,3,1,1,21,1,2,1,3,0,1,2
70,48,1,1,0,70,41,2,5,2,4.4,1,1,1,1,5,1,6,1,3,0,1,1
71,22,1,1,0,29,0,1,11,0,4.2,1,1,1,1,32,3,2,1,3,0,1,3
72,36,1,5,1,48,45,0,6,2,2.9,1,1,1,1,34,0,0,1,3,0,1,1
73,18,1,5,1,26,9,1,13,3,2.9,1,5,1,1,21,0,2,1,3,0,1,2
74,48,1,13,1,85,10,1,20,1,2.7,1,2,1,1,43,0,1,1,1,0,1,1
75,49,1,6,0,58,13,0,22,1,4.5,1,1,1,1,3,1,4,1,3,0,1,1
76,64,1,15,0,85,43,1,2,2,2.7,1,2,1,1,21,2,0,1,3,0,1,1
77,50,1,8,0,43,7,2,20,2,4.2,1,2,1,1,32,5,4,1,2,0,1,3
78,22,1,5,1,53,7,0,6,2,3.3,1,3,1,1,36,3,3,1,3,0,1,0
79,50,1,19,1,91,26,1,12,1,4.7,1,2,1,1,50,5,3,1,1,0,1,3
